,Beta,ROI,Subj,Condition,Volume
338,0.111511,FFA,513,Ho,3
339,0.25468,FFA,513,Ho,4
340,0.358984,FFA,513,Ho,5
341,0.462398,FFA,513,Ho,6
342,0.435474,FFA,513,Ho,7
343,0.481246,FFA,513,Ho,8
344,0.450159,FFA,513,Ho,9
345,0.413534,FFA,513,Ho,10
346,0.431783,FFA,513,Ho,11
347,0.382022,FFA,513,Ho,12
348,0.371183,FFA,513,Ho,13
349,0.415285,FFA,513,Ho,14
350,0.290235,FFA,513,Ho,15
351,0.309274,FFA,513,Ho,16
352,0.601392,FFA,513,Ho,17
353,0.672323,FFA,513,Ho,18
354,0.543332,FFA,513,Ho,19
355,0.376419,FFA,513,Ho,20
356,0.206364,FFA,513,Ho,21
357,0.389929,FFA,513,Hp,1
358,0.0305902,FFA,513,Hp,2
359,0.201086,FFA,513,Hp,3
360,0.131599,FFA,513,Hp,4
361,0.433583,FFA,513,Hp,5
362,0.424372,FFA,513,Hp,6
363,0.5044,FFA,513,Hp,7
364,0.315211,FFA,513,Hp,8
365,0.226614,FFA,513,Hp,9
366,0.22665,FFA,513,Hp,10
367,0.238312,FFA,513,Hp,11
368,0.3188,FFA,513,Hp,12
369,0.330389,FFA,513,Hp,13
370,0.286814,FFA,513,Hp,14
371,0.377051,FFA,513,Hp,15
372,0.458819,FFA,513,Hp,16
373,0.441325,FFA,513,Hp,17
374,0.511234,FFA,513,Hp,18
375,0.401953,FFA,513,Hp,19
376,0.255206,FFA,513,Hp,20
377,0.144381,FFA,513,Hp,21
378,0.0309622,PPA,513,FH,1
379,-0.0518751,PPA,513,FH,2
380,0.0441173,PPA,513,FH,3
381,0.0248143,PPA,513,FH,4
382,0.215514,PPA,513,FH,5
383,0.241413,PPA,513,FH,6
384,0.209422,PPA,513,FH,7
385,0.181743,PPA,513,FH,8
386,0.181802,PPA,513,FH,9
387,0.247306,PPA,513,FH,10
388,0.229669,PPA,513,FH,11
389,0.171838,PPA,513,FH,12
390,0.141395,PPA,513,FH,13
391,0.113646,PPA,513,FH,14
392,0.16467,PPA,513,FH,15
393,0.13839,PPA,513,FH,16
394,0.113916,PPA,513,FH,17
395,0.0359499,PPA,513,FH,18
396,0.0279967,PPA,513,FH,19
397,0.0425862,PPA,513,FH,20
398,0.0512957,PPA,513,FH,21
399,0.0590569,PPA,513,Fo,1
400,0.0503399,PPA,513,Fo,2
401,-0.0476255,PPA,513,Fo,3
402,0.0304373,PPA,513,Fo,4
403,0.194051,PPA,513,Fo,5
404,0.145583,PPA,513,Fo,6
405,0.134503,PPA,513,Fo,7
406,0.139114,PPA,513,Fo,8
407,0.158932,PPA,513,Fo,9
408,0.167689,PPA,513,Fo,10
409,0.206006,PPA,513,Fo,11
410,0.189002,PPA,513,Fo,12
411,0.0868837,PPA,513,Fo,13
412,0.0686524,PPA,513,Fo,14
413,0.108706,PPA,513,Fo,15
414,0.11,PPA,513,Fo,16
415,0.160224,PPA,513,Fo,17
416,0.123042,PPA,513,Fo,18
417,-0.0339394,PPA,513,Fo,19
418,-0.0278793,PPA,513,Fo,20
419,-0.0464845,PPA,513,Fo,21
420,0.150631,PPA,513,Fp,1
421,-0.0810379,PPA,513,Fp,2
422,0.0700754,PPA,513,Fp,3
423,0.197543,PPA,513,Fp,4
424,0.289129,PPA,513,Fp,5
425,0.211579,PPA,513,Fp,6
426,0.179933,PPA,513,Fp,7
427,0.0752468,PPA,513,Fp,8
428,0.074094,PPA,513,Fp,9
429,0.0949143,PPA,513,Fp,10
430,0.0706015,PPA,513,Fp,11
431,0.0659391,PPA,513,Fp,12
432,0.0582508,PPA,513,Fp,13
433,0.0653569,PPA,513,Fp,14
434,0.127824,PPA,513,Fp,15
435,0.138408,PPA,513,Fp,16
436,0.13193,PPA,513,Fp,17
437,0.114694,PPA,513,Fp,18
438,-0.00773528,PPA,513,Fp,19
439,-0.0425474,PPA,513,Fp,20
440,0.00485127,PPA,513,Fp,21
441,0.0375906,PPA,513,HF,1
442,-0.044919,PPA,513,HF,2
443,0.101079,PPA,513,HF,3
444,0.0853292,PPA,513,HF,4
445,0.331742,PPA,513,HF,5
446,0.394507,PPA,513,HF,6
447,0.454379,PPA,513,HF,7
448,0.530578,PPA,513,HF,8
449,0.490462,PPA,513,HF,9
450,0.462701,PPA,513,HF,10
451,0.406427,PPA,513,HF,11
452,0.342216,PPA,513,HF,12
453,0.334545,PPA,513,HF,13
454,0.362662,PPA,513,HF,14
455,0.407534,PPA,513,HF,15
456,0.289536,PPA,513,HF,16
457,0.239144,PPA,513,HF,17
458,0.0593116,PPA,513,HF,18
459,-0.00637653,PPA,513,HF,19
460,0.0287885,PPA,513,HF,20
461,-0.0435839,PPA,513,HF,21
462,0.304005,PPA,513,Ho,1
463,-0.00788628,PPA,513,Ho,2
464,0.0465763,PPA,513,Ho,3
465,0.221956,PPA,513,Ho,4
466,0.468641,PPA,513,Ho,5
467,0.548264,PPA,513,Ho,6
468,0.528337,PPA,513,Ho,7
469,0.503279,PPA,513,Ho,8
470,0.48816,PPA,513,Ho,9
471,0.450675,PPA,513,Ho,10
472,0.434719,PPA,513,Ho,11
473,0.461744,PPA,513,Ho,12
474,0.465601,PPA,513,Ho,13
475,0.424499,PPA,513,Ho,14
476,0.42776,PPA,513,Ho,15
477,0.450439,PPA,513,Ho,16
478,0.230213,PPA,513,Ho,17
479,0.0130888,PPA,513,Ho,18
480,0.0370664,PPA,513,Ho,19
481,-0.0126786,PPA,513,Ho,20
482,0.0555796,PPA,513,Ho,21
483,0.294894,PPA,513,Hp,1
484,0.00755015,PPA,513,Hp,2
485,0.0898582,PPA,513,Hp,3
486,0.290617,PPA,513,Hp,4
487,0.370246,PPA,513,Hp,5
488,0.491323,PPA,513,Hp,6
489,0.418277,PPA,513,Hp,7
490,0.373934,PPA,513,Hp,8
491,0.365321,PPA,513,Hp,9
492,0.359163,PPA,513,Hp,10
493,0.336535,PPA,513,Hp,11
494,0.354977,PPA,513,Hp,12
495,0.405888,PPA,513,Hp,13
496,0.414386,PPA,513,Hp,14
497,0.446339,PPA,513,Hp,15
498,0.423872,PPA,513,Hp,16
499,0.208152,PPA,513,Hp,17
500,0.0736217,PPA,513,Hp,18
501,0.0222677,PPA,513,Hp,19
502,0.032061,PPA,513,Hp,20
503,0.0729717,PPA,513,Hp,21
504,-0.219781,FFA,503,FH,1
505,-0.00804795,FFA,503,FH,2
506,-0.0307304,FFA,503,FH,3
507,0.127848,FFA,503,FH,4
508,0.302338,FFA,503,FH,5
509,0.310282,FFA,503,FH,6
510,0.375809,FFA,503,FH,7
511,0.388603,FFA,503,FH,8
512,0.388407,FFA,503,FH,9
513,0.311354,FFA,503,FH,10
514,0.276259,FFA,503,FH,11
515,0.287502,FFA,503,FH,12
