,Time,Subject,Condition,MotorMapping,Run,FFA,PPA,RH,LH
108,7,503,FH,1,2,-0.169005,-0.34253,0.0732844,0.264884
109,8,503,FH,1,2,0.09897,0.098706,-0.139837,-0.413723
110,9,503,FH,1,2,-0.255722,0.0706631,0.283619,-0.257305
111,10,503,FH,1,2,-0.182065,0.234651,-0.594471,-0.352644
112,11,503,FH,1,2,-0.252438,-0.42398,-0.207142,-0.202042
113,12,503,FH,1,2,0.108159,0.545796,-0.472437,-0.433121
114,13,503,FH,1,2,0.457714,-0.249038,-0.32052,-0.052455
115,14,503,FH,1,2,-0.583622,0.0820671,-0.82684,-0.755829
116,15,503,FH,1,2,-0.749961,-0.203947,-0.366113,0.075279
117,16,503,FH,1,2,-0.0770104,0.244851,-0.396994,0.22321
118,17,503,FH,1,2,-1.76264,0.621243,0.00135811,0.494441
119,18,503,FH,1,2,-0.378491,-0.390686,0.198041,0.690054
120,19,503,FH,1,2,0.0689672,0.189375,-0.234593,0.118783
121,20,503,FH,1,2,0.640089,-0.477379,-0.47259,-0.332171
122,21,503,FH,1,2,0.155029,0.0885973,-0.0968409,-0.2819
123,22,503,FH,1,2,-0.338293,-0.338941,0.127788,-0.159819
124,23,503,FH,1,2,-0.336965,0.614468,0.51988,0.110231
125,24,503,FH,1,2,-1.21072,0.0962051,0.446483,0.130557
126,25,503,FH,1,2,-0.277869,0.706413,0.441056,0.222106
127,26,503,FH,1,2,-0.214451,1.06223,-0.105968,-0.32621
128,27,503,FH,1,2,0.0,0.0,0.0,0.0
129,28,503,FH,1,2,0.0,0.0,0.0,0.0
130,29,503,FH,1,2,0.194283,-0.353881,-0.302826,-0.0964134
131,30,503,FH,1,2,0.116067,-0.431856,0.276936,0.195425
132,31,503,FH,1,2,0.167655,-0.044298,0.156034,-0.0674875
133,32,503,FH,1,2,1.01073,-0.948406,0.598766,0.508823
134,33,503,FH,1,2,0.336211,0.0456285,0.250134,0.271694
135,34,503,FH,1,2,0.179688,-0.454891,0.636004,0.385581
136,35,503,FH,1,2,0.619024,-0.496797,0.232459,-0.0815191
137,36,503,FH,1,2,0.110068,0.219133,-0.0616988,0.00226453
138,37,503,FH,1,2,0.23857,-0.491381,0.489487,0.108943
139,38,503,FH,1,2,-0.38925,0.249143,-0.500303,-0.347726
140,39,503,FH,1,2,-0.364863,-0.327474,0.114134,0.324654
141,40,503,FH,1,2,-0.332345,0.0837519,0.197373,0.0542256
142,41,503,FH,1,2,0.223233,0.197058,0.363278,-0.107567
143,42,503,FH,1,2,0.576385,-0.104021,0.502674,0.0215739
144,43,503,FH,1,2,0.258394,0.345825,-0.0910279,-0.308278
145,44,503,FH,1,2,0.528839,0.343616,-0.295327,-0.0152392
146,45,503,FH,1,2,0.352639,0.743154,-0.605103,-0.0530694
147,46,503,FH,1,2,-0.423453,0.409718,0.520685,0.682635
148,47,503,FH,1,2,0.05586,0.774453,0.0778077,0.285229
149,48,503,FH,1,2,-0.619263,0.944696,0.281298,-0.0953115
150,49,503,FH,1,2,-0.527585,-0.224076,-0.0394338,-0.192895
151,50,503,FH,1,2,-0.807751,0.101047,-0.053945,-0.261624
152,51,503,FH,1,2,-0.252914,0.0241543,-0.456298,-0.601708
153,52,503,FH,1,2,-0.317408,0.182174,-0.0771129,-0.0318986
154,53,503,FH,1,2,-0.585216,-0.191014,-0.226432,-0.481452
155,54,503,FH,1,2,0.319277,-0.370783,-0.176261,-0.0636742
