,Condition,Subj,FFA-VC,PPA-VC,Run
107,HF,542.0,0.23816533443,0.107949268132,1.5
108,HF,546.0,0.0962679246148,0.206073692944,1.5
109,HF,547.0,0.477628178113,-0.0157998536363,1.5
110,HF,549.0,0.430631912121,0.327161902265,1.5
111,HF,550.0,-0.0167530033946,0.0578157760435,1.5
112,Ho,503.0,0.310183235697,0.155294954295,1.5
113,Ho,505.0,0.28429310539,0.563916104771,1.5
114,Ho,508.0,0.171438661355,0.405897426652,1.5
115,Ho,509.0,0.228074419888,0.0754305646248,1.5
116,Ho,510.0,-0.165405752033,0.38472559342,1.5
117,Ho,512.0,0.29480424681,0.14034434594,1.5
118,Ho,513.0,0.253872958031,0.272111410172,1.5
119,Ho,516.0,0.0386598768194,0.18205109777,1.5
120,Ho,517.0,-0.0334423138701,0.517542331972,1.5
121,Ho,518.0,0.162340233335,0.116980575814,1.5
122,Ho,519.0,-0.0730379817412,0.417694836593,1.5
123,Ho,523.0,-0.0985463956119,0.287962620293,1.5
124,Ho,527.0,0.404905820061,0.123208385168,1.5
125,Ho,528.0,0.204025186359,0.223725071838,1.5
126,Ho,529.0,0.165197321261,0.312542543397,1.5
127,Ho,530.0,0.0417150251165,0.28117699942,1.5
128,Ho,531.0,0.35159505266,0.039804148694,1.5
129,Ho,532.0,-0.0727239792979,0.300418990819,1.5
130,Ho,534.0,0.0786373001262,0.460740680347,1.5
131,Ho,536.0,0.10759969144,0.199943137946,1.5
132,Ho,537.0,0.196356907377,0.235880414526,1.5
133,Ho,539.0,-0.0450541381533,0.467151835687,1.5
134,Ho,540.0,0.07672604782,0.266215795064,1.5
135,Ho,542.0,0.32099097431,0.277011516817,1.5
136,Ho,546.0,0.0116723078566,0.289000884342,1.5
137,Ho,547.0,0.414478401009,-0.0221278928447,1.5
138,Ho,549.0,0.428668024067,0.302434514932,1.5
139,Ho,550.0,0.233680818991,-0.00932960767405,1.5
140,Hp,503.0,0.397472471128,-0.0278957910379,1.5
141,Hp,505.0,0.063951401307,0.387424580858,1.5
142,Hp,508.0,0.295711738647,0.149990096897,1.5
143,Hp,509.0,0.137086328182,0.262607097322,1.5
144,Hp,510.0,-0.174837830448,0.388002844785,1.5
145,Hp,512.0,0.477999460684,0.238435057435,1.5
146,Hp,513.0,0.295266256663,0.317286658306,1.5
147,Hp,516.0,-0.0274096677764,0.20523801467,1.5
148,Hp,517.0,-0.124665718071,0.403965147718,1.5
149,Hp,518.0,0.0931975373122,0.0144746053296,1.5
150,Hp,519.0,-0.187485862709,0.37378572599,1.5
151,Hp,523.0,-0.139816594296,0.186438553733,1.5
152,Hp,527.0,0.47316576798,0.221255940056,1.5
153,Hp,528.0,0.115442701228,0.321266804596,1.5
154,Hp,529.0,0.151611229052,0.289853615656,1.5
155,Hp,530.0,-0.0669216987587,0.300718516758,1.5
156,Hp,531.0,0.373300075619,0.173900300833,1.5
157,Hp,532.0,-0.0588440449136,0.249339342348,1.5
158,Hp,534.0,0.0287692641581,0.448678364887,1.5
159,Hp,536.0,0.115358888493,0.106822635741,1.5
160,Hp,537.0,0.188611235285,0.252449402853,1.5
161,Hp,539.0,-0.0883468796071,0.453295824905,1.5
162,Hp,540.0,0.129870620513,0.30056759658,1.5
163,Hp,542.0,0.333648940994,0.181978078934,1.5
164,Hp,546.0,0.119677933406,0.16799304356,1.5
165,Hp,547.0,0.406986071773,0.00409648119639,1.5
166,Hp,549.0,0.383903845221,0.288608051739,1.5
167,Hp,550.0,0.15441532453,0.0482662597597,1.5
